product_title,product_vendor,product_type,product_price,day,week,month,quarter,year,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost
Water,,,1.000,2023-06-11,2023-W23,2023-06,2023-04,2023,1,1.000,0.000,0.000,1.000,0.080,1.080,0.000
DARKROOM TREND FORECAST CREW NECK SWEATSHIRT,Town and Country Skateboards,,50.000,2023-08-27,2023-W34,2023-08,2023-07,2023,1,50.000,-50.000,0.000,0.000,0.000,0.000,27.000
"INDEPENDENT HARDWARE BLACK/GOLD 1""",Town and Country Skateboards,,3.000,2024-04-19,2024-W16,2024-04,2024-04,2024,1,3.000,0.000,0.000,3.000,0.240,3.240,1.500
Blank deck,,,30.000,2024-02-07,2024-W06,2024-02,2024-01,2024,1,30.000,0.000,0.000,30.000,2.400,32.400,0.000
"INDEPENDENT HARDWARE BLACK/GOLD 1""",Town and Country Skateboards,,3.000,2024-03-03,2024-W09,2024-03,2024-01,2024,1,3.000,0.000,0.000,3.000,0.240,3.240,1.500
Snack Wide Wale Carpenter Pants,Town and Country Skateboards,,96.000,2023-12-01,2023-W48,2023-12,2023-10,2023,1,96.000,-45.960,0.000,50.040,4.000,54.040,0.000
"INDEPENDENT HARDWARE BLACK/GOLD 1""",Town and Country Skateboards,,3.000,2024-08-30,2024-W35,2024-08,2024-07,2024,1,3.000,-0.600,0.000,2.400,0.200,2.600,1.500
LAKAI INDIVIDUAL LACE PACK,Town and Country Skateboards,,5.000,2024-12-22,2024-W51,2024-12,2024-10,2024,1,5.000,0.000,0.000,5.000,0.200,5.200,0.000
"INDEPENDENT HARDWARE BLACK/GOLD 1""",Town and Country Skateboards,,3.000,2023-11-03,2023-W44,2023-11,2023-10,2023,1,3.000,0.000,0.000,3.000,0.240,3.240,1.500
Big balls,,,20.000,2023-10-08,2023-W40,2023-10,2023-10,2023,1,20.000,0.000,0.000,20.000,1.600,21.600,0.000
"INDEPENDENT HARDWARE BLACK/GOLD 1""",Town and Country Skateboards,,3.000,2024-07-14,2024-W28,2024-07,2024-07,2024,1,3.000,0.000,0.000,3.000,0.240,3.240,1.500
BONES DOUBLE STITCH BEANIE BLACK,Town and Country Skateboards,,20.000,2023-04-03,2023-W14,2023-04,2023-04,2023,1,20.000,0.000,0.000,20.000,0.000,20.000,10.000
"INDEPENDENT HARDWARE BLACK/GOLD 1""",Town and Country Skateboards,,3.000,2023-09-15,2023-W37,2023-09,2023-07,2023,1,3.000,-0.340,0.000,2.660,0.220,2.880,1.500
Skate jawn tee,,,20.000,2023-04-08,2023-W14,2023-04,2023-04,2023,1,20.000,0.000,0.000,20.000,1.600,21.600,0.000
StrangeLove Skateboards Brian Howard / 8.75 (Screened),Town and Country Skateboards,,89.990,2024-07-06,2024-W27,2024-07,2024-07,2024,1,89.990,-13.490,0.000,76.500,6.120,82.620,60.000
SHOWDOWN TEE BLACK,Town and Country Skateboards,,25.000,2023-08-30,2023-W35,2023-08,2023-07,2023,1,25.000,-2.500,0.000,22.500,1.800,24.300,13.000
INDEPENDENT GENUINE PARTS STANDARD CYLINDER BUSHINGS SUPER HARD (96A),Town and Country Skateboards,,6.000,2023-09-07,2023-W36,2023-09,2023-07,2023,1,6.000,0.000,0.000,6.000,0.480,6.480,0.000
SNOT WHEELS TEAM PINK 53MM,Town and Country Skateboards,,30.000,2024-04-19,2024-W16,2024-04,2024-04,2024,1,30.000,0.000,0.000,30.000,2.400,32.400,18.500
MEOW SAMARRIA BREVARD DRAGONFLY DECK 8.5,Town and Country Skateboards,,59.990,2023-06-04,2023-W22,2023-06,2023-04,2023,1,59.990,0.000,0.000,59.990,4.800,64.790,38.000
SHOWDOWN TEE BLACK,Town and Country Skateboards,,25.000,2023-09-02,2023-W35,2023-09,2023-07,2023,1,25.000,-12.500,0.000,12.500,1.000,13.500,13.000
SPITFIRE FORMULA FOUR RADIAL FULL 97D,Town and Country Skateboards,,38.000,2023-09-01,2023-W35,2023-09,2023-07,2023,1,38.000,-7.600,0.000,30.400,2.440,32.840,28.000
Snack Wide Wale Carpenter Pants,Town and Country Skateboards,,96.000,2024-03-16,2024-W11,2024-03,2024-01,2024,1,96.000,-96.000,0.000,0.000,0.000,0.000,0.000
SPITFIRE FORMULA FOUR RADIAL FULL 97D,Town and Country Skateboards,,38.000,2023-02-24,2023-W08,2023-02,2023-01,2023,1,38.000,-38.000,0.000,0.000,0.000,0.000,28.000
SHOWDOWN TEE BLACK,Town and Country Skateboards,,25.000,2023-07-16,2023-W28,2023-07,2023-07,2023,1,25.000,0.000,0.000,25.000,2.000,27.000,13.000
SPITFIRE FORMULA FOUR RADIAL FULL 97D,Town and Country Skateboards,,38.000,2024-07-27,2024-W30,2024-07,2024-07,2024,1,38.000,-3.800,0.000,34.200,2.740,36.940,28.000
RICTA WHITE CLOUD WHEELS 78A 56MM,Town and Country Skateboards,,35.000,2023-11-12,2023-W45,2023-11,2023-10,2023,1,35.000,0.000,0.000,35.000,2.800,37.800,20.000
SPITFIRE FORMULA FOUR RADIAL FULL 97D,Town and Country Skateboards,,38.000,2024-08-14,2024-W33,2024-08,2024-07,2024,1,38.000,-4.560,0.000,33.440,2.680,36.120,28.000
SHOWDOWN TEE BLACK,Town and Country Skateboards,,25.000,2023-10-06,2023-W40,2023-10,2023-10,2023,1,25.000,0.000,0.000,25.000,2.000,27.000,13.000
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2024-08-04,2024-W31,2024-08,2024-07,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
OJ ELITE NOMADS 95A WHEELS (ASSORTED SIZES),Town and Country Skateboards,,38.000,2023-08-29,2023-W35,2023-08,2023-07,2023,1,38.000,0.000,0.000,38.000,3.040,41.040,21.600
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2024-11-09,2024-W45,2024-11,2024-10,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
SHOWDOWN TEE BLACK,Town and Country Skateboards,shirt,25.000,2024-01-18,2024-W03,2024-01,2024-01,2024,1,25.000,0.000,0.000,25.000,2.000,27.000,13.000
Water,,,1.000,2023-03-21,2023-W12,2023-03,2023-01,2023,1,1.000,0.000,0.000,1.000,0.080,1.080,0.000
RICTA WHITE CLOUD WHEELS 78A 56MM,Town and Country Skateboards,,35.000,2023-08-27,2023-W34,2023-08,2023-07,2023,1,35.000,0.000,0.000,35.000,2.800,37.800,20.000
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2023-10-27,2023-W43,2023-10,2023-10,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
SHOWDOWN TEE BLACK,Town and Country Skateboards,shirt,25.000,2023-10-13,2023-W41,2023-10,2023-10,2023,1,25.000,0.000,0.000,25.000,2.000,27.000,13.000
Water,,,1.000,2023-08-25,2023-W34,2023-08,2023-07,2023,1,1.000,0.000,0.000,1.000,0.080,1.080,0.000
Thrasher,,,5.990,2023-05-10,2023-W19,2023-05,2023-04,2023,1,5.990,0.000,0.000,5.990,0.480,6.470,0.000
Water,,,1.000,2023-04-12,2023-W15,2023-04,2023-04,2023,1,1.000,0.000,0.000,1.000,0.080,1.080,0.000
SHOWDOWN TEE BLACK,Town and Country Skateboards,shirt,25.000,2024-07-07,2024-W27,2024-07,2024-07,2024,1,25.000,0.000,0.000,25.000,2.000,27.000,13.000
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2024-01-04,2024-W01,2024-01,2024-01,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
Hypoluxo Clown Deck,Town and Country Skateboards,,60.000,2024-03-08,2024-W10,2024-03,2024-01,2024,1,60.000,-12.000,0.000,48.000,3.840,51.840,35.000
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2023-09-27,2023-W39,2023-09,2023-07,2023,1,3.500,-0.350,0.000,3.150,0.260,3.410,2.250
SHOWDOWN TEE BLACK,Town and Country Skateboards,shirt,25.000,2024-04-18,2024-W16,2024-04,2024-04,2024,1,25.000,-1.250,0.000,23.750,1.900,25.650,13.000
Water,,,1.000,2023-02-21,2023-W08,2023-02,2023-01,2023,1,1.000,0.000,0.000,1.000,0.080,1.080,0.000
480 blue 11.5,,,99.950,2024-03-05,2024-W10,2024-03,2024-01,2024,1,99.950,-29.980,0.000,69.970,5.600,75.570,0.000
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2024-05-18,2024-W20,2024-05,2024-04,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
PEPPER STRIPS LOGO SOCK PAIR,Town and Country Skateboards,,12.000,2023-08-30,2023-W35,2023-08,2023-07,2023,1,12.000,-1.800,0.000,10.200,0.820,11.020,5.500
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2023-10-15,2023-W41,2023-10,2023-10,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
ANTI-HERO BASIC EAGLE SNAPBACK HAT BLACK/CHARCOAL,Town and Country Skateboards,,25.990,2023-09-20,2023-W38,2023-09,2023-07,2023,1,25.990,0.000,0.000,25.990,0.000,25.990,15.500
OJ ELITE NOMAD WHEELS 53MM 95A,Town and Country Skateboards,,35.000,2023-11-24,2023-W47,2023-11,2023-10,2023,1,35.000,-8.750,0.000,26.250,2.100,28.350,21.600
LAKAI EVO 2.0 XLK GREY/LIME,Town and Country Skateboards,,30.000,2024-03-19,2024-W12,2024-03,2024-01,2024,1,30.000,0.000,0.000,30.000,2.400,32.400,45.000
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2024-08-24,2024-W34,2024-08,2024-07,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
SKATE SESSION,Town and Country Skateboards,,10.000,2024-04-28,2024-W17,2024-04,2024-04,2024,1,10.000,0.000,0.000,10.000,0.000,10.000,0.000
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2024-05-25,2024-W21,2024-05,2024-04,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
QUANTUM BEARING SCIENCE ATOM CERAMIC HYBRID BEARINGS,Town and Country Skateboards,,42.000,2024-11-17,2024-W46,2024-11,2024-10,2024,1,42.000,0.000,0.000,42.000,3.360,45.360,24.000
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2023-10-06,2023-W40,2023-10,2023-10,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
PEPPER STRIPS LOGO SOCK PAIR,Town and Country Skateboards,,12.000,2023-08-27,2023-W34,2023-08,2023-07,2023,1,12.000,-12.000,0.000,0.000,0.000,0.000,5.500
Deathwish,,,3.000,2024-03-23,2024-W12,2024-03,2024-01,2024,1,3.000,0.000,0.000,3.000,0.240,3.240,0.000
QUANTUM BEARING SCIENCE ATOM CERAMIC HYBRID BEARINGS,Town and Country Skateboards,,42.000,2024-08-02,2024-W31,2024-08,2024-07,2024,1,42.000,0.000,0.000,42.000,3.360,45.360,24.000
Deathwish,,,4.000,2023-06-03,2023-W22,2023-06,2023-04,2023,1,4.000,0.000,0.000,4.000,0.320,4.320,0.000
SKATE SESSION,Town and Country Skateboards,,5.000,2023-02-09,2023-W06,2023-02,2023-01,2023,1,5.000,0.000,0.000,5.000,0.000,5.000,0.000
Deathwish,,,4.000,2023-11-25,2023-W47,2023-11,2023-10,2023,1,4.000,0.000,0.000,4.000,0.320,4.320,0.000
QUANTUM BEARING SCIENCE ATOM CERAMIC HYBRID BEARINGS,Town and Country Skateboards,,42.000,2024-07-07,2024-W27,2024-07,2024-07,2024,1,42.000,0.000,0.000,42.000,3.360,45.360,24.000
ERIC DRESSEN BRONSON G3 BEARINGS,Town and Country Skateboards,,20.000,2024-11-13,2024-W46,2024-11,2024-10,2024,1,20.000,-2.280,0.000,17.720,1.420,19.140,10.000
SNACK YARROW WE WERE HERE SERIES DECK 8.25 & 8.38,Town and Country Skateboards,,60.000,2023-05-18,2023-W20,2023-05,2023-04,2023,1,60.000,0.000,0.000,60.000,4.800,64.800,35.000
ERIC DRESSEN BRONSON G3 BEARINGS,Town and Country Skateboards,,20.000,2024-08-07,2024-W32,2024-08,2024-07,2024,1,20.000,-2.000,0.000,18.000,1.440,19.440,10.000
"The Story So Far (2) - The Story So Far (LP, Album, Ltd, RP, Bro) (Near Mint (NM or M-))",Pure Noise Records,,24.980,2023-02-02,2023-W05,2023-02,2023-01,2023,1,24.980,0.000,0.000,24.980,0.000,24.980,0.000
"Roy Kinsey - blackie: a story by ROY KINSEY (LP, Album) (Near Mint (NM or M-))",Not Normal Tapes,,14.990,2024-04-20,2024-W16,2024-04,2024-04,2024,1,14.990,-14.990,0.000,0.000,0.000,0.000,0.000
POWELL PERALTA RIB BONES RAILS RED,Town and Country Skateboards,,12.000,2024-04-09,2024-W15,2024-04,2024-04,2024,1,12.000,-1.200,0.000,10.800,0.860,11.660,7.500
ANTI-HERO SPACE CONDO BLACK,Town and Country Skateboards,,55.000,2024-01-14,2024-W02,2024-01,2024-01,2024,1,55.000,-5.000,0.000,50.000,4.000,54.000,34.500
1010,,,65.000,2023-08-17,2023-W33,2023-08,2023-07,2023,1,65.000,-4.000,0.000,61.000,4.880,65.880,0.000
NB Numeric 440 High V2- Black with Gum,Town and Country Skateboards,,84.990,2024-10-26,2024-W43,2024-10,2024-10,2024,1,84.990,0.000,0.000,84.990,3.400,88.390,0.000
Denoation,,,5.000,2024-04-04,2024-W14,2024-04,2024-04,2024,1,5.000,0.000,0.000,5.000,0.000,5.000,0.000
NB Numeric 440 High V2- Black with Gum,Town and Country Skateboards,,84.990,2024-10-25,2024-W43,2024-10,2024-10,2024,1,84.990,-12.000,0.000,72.990,2.920,75.910,0.000
NEW BALANCE NUMERIC 306 FOY,Town and Country Skateboards,,30.000,2023-05-05,2023-W18,2023-05,2023-04,2023,1,30.000,0.000,0.000,30.000,2.400,32.400,40.000
Dogtown,,,25.000,2023-03-25,2023-W12,2023-03,2023-01,2023,1,25.000,0.000,0.000,25.000,2.000,27.000,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-11-13,2024-W46,2024-11,2024-10,2024,1,10.000,0.000,0.000,10.000,0.000,10.000,0.000
20 Years of CODA Hat,Town and Country Skateboards,,20.000,2024-10-19,2024-W42,2024-10,2024-10,2024,1,20.000,-1.000,0.000,19.000,1.520,20.520,0.000
NEW BALANCE NUMERIC 306 FOY,Town and Country Skateboards,,30.000,2023-06-09,2023-W23,2023-06,2023-04,2023,1,30.000,0.000,0.000,30.000,2.400,32.400,40.000
"Mac Miller - Watching Movies With The Sound Off (CD, Album) (Near Mint (NM or M-))",Rostrum Records,,12.490,2023-02-26,2023-W08,2023-02,2023-01,2023,1,12.490,0.000,0.000,12.490,1.000,13.490,0.000
Tj quantum,,,32.000,2023-03-30,2023-W13,2023-03,2023-01,2023,1,32.000,0.000,0.000,32.000,2.560,34.560,0.000
ERIC WINKOWSKI DOPE PLANET TWO SHAPED DECK 10.34,Town and Country Skateboards,,75.000,2023-11-24,2023-W47,2023-11,2023-10,2023,1,75.000,0.000,0.000,75.000,0.000,75.000,53.000
CHOCOLATE VANNER CRUISER WHEELS,Town and Country Skateboards,,35.000,2024-10-11,2024-W41,2024-10,2024-10,2024,1,35.000,0.000,0.000,35.000,2.800,37.800,18.000
UMA TEDDY BEAR QUEEN DECK 7.75,Town and Country Skateboards,,60.000,2024-03-09,2024-W10,2024-03,2024-01,2024,1,60.000,-30.000,0.000,30.000,2.400,32.400,39.000
YERBA CRANBERRY SPARKLING,Town and Country Skateboards,,3.500,2024-04-30,2024-W18,2024-04,2024-04,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.080
SNACK SEEING THE SIGHTS CHICAGO HAT,Town and Country Skateboards,,32.000,2023-08-16,2023-W33,2023-08,2023-07,2023,1,32.000,-3.200,0.000,28.800,2.300,31.100,18.000
STRANGELOVE STRAWBERRY COUGH LILAC FLOCKED DECK 8.875,Town and Country Skateboards,,85.000,2023-07-17,2023-W29,2023-07,2023-07,2023,1,85.000,0.000,0.000,85.000,0.000,85.000,65.000
Dais marb 8.5,,,60.000,2024-08-01,2024-W31,2024-08,2024-07,2024,1,60.000,0.000,0.000,60.000,4.800,64.800,0.000
NEW BALANCE NUMERIC TIAGO 1010 BLACK,Town and Country Skateboards,,60.000,2023-04-06,2023-W14,2023-04,2023-04,2023,1,60.000,-15.660,0.000,44.340,3.540,47.880,55.000
Nimbus 8,,,50.000,2023-04-15,2023-W15,2023-04,2023-04,2023,1,50.000,0.000,0.000,50.000,4.000,54.000,0.000
SNACK COVARRUBIAS BRUCK DECK 8.5,Town and Country Skateboards,,60.000,2023-05-10,2023-W19,2023-05,2023-04,2023,1,60.000,-18.000,0.000,42.000,3.360,45.360,39.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-05-27,2023-W21,2023-05,2023-04,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-08-18,2023-W33,2023-08,2023-07,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
NEW BALANCE NUMERIC 425,Town and Country Skateboards,,40.000,2023-04-09,2023-W14,2023-04,2023-04,2023,1,40.000,0.000,0.000,40.000,3.200,43.200,0.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-07-28,2023-W30,2023-07,2023-07,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
DEADMAN PARTY PSOCKS,Town and Country Skateboards,,10.000,2023-08-27,2023-W34,2023-08,2023-07,2023,1,10.000,-10.000,0.000,0.000,0.000,0.000,4.000
SPITFIRE FORMULA FOUR SWIRLED CLASSIC 99D (assorted sizes),Town and Country Skateboards,,39.990,2023-09-15,2023-W37,2023-09,2023-07,2023,1,39.990,-4.620,0.000,35.370,2.820,38.190,27.350
NEW BALANCE NUMERIC 425,Town and Country Skateboards,,40.000,2023-11-05,2023-W44,2023-11,2023-10,2023,1,40.000,-10.000,0.000,30.000,2.400,32.400,0.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-09-15,2023-W37,2023-09,2023-07,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
Skate Jawn Socks,Town and Country Skateboards,,12.000,2024-05-05,2024-W18,2024-05,2024-04,2024,1,12.000,0.000,0.000,12.000,0.960,12.960,6.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-05-26,2023-W21,2023-05,2023-04,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
NEW BALANCE NUMERIC 425,Town and Country Skateboards,,40.000,2023-05-22,2023-W21,2023-05,2023-04,2023,1,40.000,0.000,0.000,40.000,3.200,43.200,30.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-07-02,2023-W26,2023-07,2023-07,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
NEW BALANCE NUMERIC TIAGO 1010 BLACK,Town and Country Skateboards,,60.000,2023-04-30,2023-W17,2023-04,2023-04,2023,1,60.000,0.000,0.000,60.000,0.000,60.000,55.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-08-04,2023-W31,2023-08,2023-07,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
SLAPPY ST1 INVERTED HOLLOW SKATEBOARD TRUCKS,Town and Country Skateboards,TRUCKS,60.000,2024-08-31,2024-W35,2024-08,2024-07,2024,1,60.000,-18.000,0.000,42.000,3.360,45.360,35.500
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-08-17,2023-W33,2023-08,2023-07,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
SKATE SESSION,Town and Country Skateboards,,5.000,2023-03-28,2023-W13,2023-03,2023-01,2023,1,5.000,0.000,0.000,5.000,0.000,5.000,0.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-03-25,2023-W12,2023-03,2023-01,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
NEW BALANCE NUMERIC TIAGO 1010 BLACK,Town and Country Skateboards,,60.000,2023-04-13,2023-W15,2023-04,2023-04,2023,1,60.000,0.000,0.000,60.000,0.000,60.000,55.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2024-07-18,2024-W29,2024-07,2024-07,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
1/2 of cheyannes shoe order,,,65.000,2023-08-03,2023-W31,2023-08,2023-07,2023,1,65.000,0.000,0.000,65.000,5.200,70.200,0.000
SPITFIRE FORMULA FOUR DECAY CONICAL,Town and Country Skateboards,,39.000,2024-10-31,2024-W44,2024-10,2024-10,2024,1,39.000,-1.950,0.000,37.050,2.960,40.010,25.000
BRONSON SAMARRIA BREVARD PRO G3 BEARINGS,Town and Country Skateboards,,25.000,2024-03-08,2024-W10,2024-03,2024-01,2024,1,25.000,-3.750,0.000,21.250,1.700,22.950,19.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2025-01-26,2025-W04,2025-01,2025-01,2025,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
HUF SET BOX SNAPBACK BROWN,Town and Country Skateboards,,30.000,2024-05-02,2024-W18,2024-05,2024-04,2024,1,30.000,0.000,0.000,30.000,2.400,32.400,16.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-03-30,2023-W13,2023-03,2023-01,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
$LAVE SKATEBOARDS BURKE BORED RERUN DECK 8.67,Town and Country Skateboards,,60.000,2023-08-25,2023-W34,2023-08,2023-07,2023,1,60.000,-60.000,0.000,0.000,0.000,0.000,38.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-02-16,2023-W07,2023-02,2023-01,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
"Muggs* Presents The Soul Assassins - The Soul Assassins (Chapter 1) (2xLP, Album, RE, RP, 180) (Near Mint (NM or M-))","Music On Vinyl,Columbia",,46.990,2023-03-25,2023-W12,2023-03,2023-01,2023,1,46.990,-46.990,0.000,0.000,0.000,0.000,0.000
SPITFIRE FORMULA FOUR DECAY CONICAL,Town and Country Skateboards,,38.000,2024-08-04,2024-W31,2024-08,2024-07,2024,1,38.000,-5.700,0.000,32.300,2.580,34.880,25.000
ANTI-HERO BASIC EAGLE SNAPBACK HAT OLIVE/YELLOW,Town and Country Skateboards,,25.990,2023-05-28,2023-W21,2023-05,2023-04,2023,1,25.990,0.000,0.000,25.990,2.080,28.070,15.500
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-09-01,2023-W35,2023-09,2023-07,2023,1,3.500,-0.700,0.000,2.800,0.220,3.020,1.750
ROLLING SHROOMS PSOCKADELIC SOCKS,Town and Country Skateboards,,12.000,2023-08-27,2023-W34,2023-08,2023-07,2023,1,12.000,-12.000,0.000,0.000,0.000,0.000,6.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-05-02,2023-W18,2023-05,2023-04,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
PRIME BLANK DECKS 8.0 (ASSORTED STAINS),Town and Country Skateboards,,35.000,2024-07-17,2024-W29,2024-07,2024-07,2024,1,35.000,0.000,0.000,35.000,2.800,37.800,0.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2023-09-07,2023-W36,2023-09,2023-07,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
SNACK YARROW A.I. DECK 8.25,Town and Country Skateboards,,60.000,2023-05-14,2023-W19,2023-05,2023-04,2023,1,60.000,-6.000,0.000,54.000,4.320,58.320,36.000
SHORTYS ORIGINAL PHILIPS HEAD HARDWARE,Town and Country Skateboards,,3.500,2025-01-09,2025-W02,2025-01,2025-01,2025,1,3.500,0.000,0.000,3.500,0.280,3.780,1.750
PRIME BLANK DECKS 8.0 (ASSORTED STAINS),Town and Country Skateboards,,35.000,2024-06-13,2024-W24,2024-06,2024-04,2024,1,35.000,0.000,0.000,35.000,2.800,37.800,0.000
NB Numeric Tom Knox 600- Timber Wolf With Forest Green,Town and Country Skateboards,,94.990,2024-10-07,2024-W41,2024-10,2024-10,2024,1,94.990,0.000,0.000,94.990,3.800,98.790,0.000
Chips,,,1.000,2024-09-26,2024-W39,2024-09,2024-07,2024,1,1.000,0.000,0.000,1.000,0.080,1.080,0.000
Working class wheels,,,30.000,2023-05-26,2023-W21,2023-05,2023-04,2023,1,30.000,0.000,0.000,30.000,2.400,32.400,0.000
PRIME BLANK DECKS 8.0 (ASSORTED STAINS),Town and Country Skateboards,,35.000,2024-03-21,2024-W12,2024-03,2024-01,2024,1,35.000,-5.250,0.000,29.750,2.380,32.130,0.000
WOOL SOFTY SKATE DECK (ASSORTED SIZES),Town and Country Skateboards,,55.000,2023-04-23,2023-W16,2023-04,2023-04,2023,1,55.000,0.000,0.000,55.000,3.850,58.850,38.000
Tj Roger’s metalocs,,,30.000,2023-06-23,2023-W25,2023-06,2023-04,2023,1,30.000,0.000,0.000,30.000,2.400,32.400,0.000
UMA REMNANTS MAITÉ DECK 8.625,Town and Country Skateboards,,55.000,2023-09-03,2023-W35,2023-09,2023-07,2023,1,55.000,-55.000,0.000,0.000,0.000,0.000,35.000
PRIME BLANK DECKS 8.0 (ASSORTED STAINS),Town and Country Skateboards,,35.000,2023-08-22,2023-W34,2023-08,2023-07,2023,1,35.000,-1.750,0.000,33.250,2.660,35.910,0.000
Resist Control (2) - Cessation (LP) (Near Mint (NM or M-)),"Feral Kid Records,Peterwalkee Records",,2.000,2024-04-28,2024-W17,2024-04,2024-04,2024,1,2.000,-2.000,0.000,0.000,0.000,0.000,0.000
HUF PENCILLED IN CREW SOCK,Town and Country Skateboards,,14.000,2024-06-07,2024-W23,2024-06,2024-04,2024,1,14.000,0.000,0.000,14.000,1.120,15.120,7.000
YERBA LEMON,Town and Country Skateboards,,3.500,2023-10-22,2023-W42,2023-10,2023-10,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
GIRL CRAILTAP BOARDAGRAM TEE BLACK S,Town and Country Skateboards,,25.000,2023-08-27,2023-W34,2023-08,2023-07,2023,1,25.000,-25.000,0.000,0.000,0.000,0.000,0.000
YERBA LEMON,Town and Country Skateboards,,3.500,2023-09-16,2023-W37,2023-09,2023-07,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
YERBA CRANBERRY SPARKLING,Town and Country Skateboards,,3.500,2023-10-19,2023-W42,2023-10,2023-10,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.080
YERBA LEMON,Town and Country Skateboards,,3.500,2023-09-06,2023-W36,2023-09,2023-07,2023,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
ACE MINI TRUCK HAT,Town and Country Skateboards,hat,28.000,2024-08-03,2024-W31,2024-08,2024-07,2024,1,28.000,0.000,0.000,28.000,0.000,28.000,16.000
SPITFIRE FORMULA FOUR DECAY CONICAL,Town and Country Skateboards,,38.000,2024-04-12,2024-W15,2024-04,2024-04,2024,1,38.000,-5.700,0.000,32.300,2.580,34.880,25.000
BONES REDS BEARINGS SINGLE WHEEL REPLACEMENTS,Town and Country Skateboards,,5.000,2024-04-21,2024-W16,2024-04,2024-04,2024,1,5.000,0.000,0.000,5.000,0.400,5.400,2.660
YERBA LEMON,Town and Country Skateboards,,3.500,2024-07-03,2024-W27,2024-07,2024-07,2024,1,3.500,0.000,0.000,3.500,0.280,3.780,2.250
